indicator,topic,source
"Graduates in engineering, manufacturing and construction (% of total graduates, tertiary)",Education ,Education Statistics
"Graduates in engineering, manufacturing and construction, female (% of total female graduates, tertiary)",Education,Education Statistics
"Graduates in engineering, manufacturing and construction, female (% of total female graduates, tertiary)",Education ,Education Statistics
"Graduates in engineering, manufacturing and construction. Tertiary. Female",Education,Education Statistics
"Graduates in engineering, manufacturing and construction. Tertiary. Female",Education ,Education Statistics
"Graduates in engineering, manufacturing and construction. Tertiary. Total",Education,Education Statistics
"Graduates in engineering, manufacturing and construction. Tertiary. Total",Education ,Education Statistics
Graduates in general programmes. Tertiary. Female,Education,Education Statistics
Graduates in general programmes. Tertiary. Female,Education ,Education Statistics
Graduates in general programmes. Tertiary. Total,Education,Education Statistics
Graduates in general programmes. Tertiary. Total,Education ,Education Statistics
"Graduates in health (% of total graduates, tertiary)",Education,Education Statistics
"Graduates in health (% of total graduates, tertiary)",Education ,Education Statistics
Graduates in health and welfare. Tertiary. Female,Education,Education Statistics
Graduates in health and welfare. Tertiary. Female,Education ,Education Statistics
Graduates in health and welfare. Tertiary. Total,Education,Education Statistics
Graduates in health and welfare. Tertiary. Total,Education ,Education Statistics
"Graduates in health, female (% of total female graduates, tertiary)",Education,Education Statistics
"Graduates in health, female (% of total female graduates, tertiary)",Education ,Education Statistics
"Graduates in humanities and arts (% of total graduates, tertiary)",Education,Education Statistics
"Graduates in humanities and arts (% of total graduates, tertiary)",Education ,Education Statistics
"Graduates in humanities and arts, female (% of total female graduates, tertiary)",Education,Education Statistics
"Graduates in humanities and arts, female (% of total female graduates, tertiary)",Education ,Education Statistics
Graduates in humanities and arts. Tertiary. Female,Education,Education Statistics
Graduates in humanities and arts. Tertiary. Female,Education ,Education Statistics
Graduates in humanities and arts. Tertiary. Total,Education,Education Statistics
Graduates in humanities and arts. Tertiary. Total,Education ,Education Statistics
"Graduates in science (% of total graduates, tertiary)",Education,Education Statistics
"Graduates in science (% of total graduates, tertiary)",Education ,Education Statistics
"Graduates in science, female (% of total female graduates, tertiary)",Education,Education Statistics
"Graduates in science, female (% of total female graduates, tertiary)",Education ,Education Statistics
Graduates in science. Tertiary. Female,Education,Education Statistics
Graduates in science. Tertiary. Female,Education ,Education Statistics
Graduates in science. Tertiary. Total,Education,Education Statistics
Graduates in science. Tertiary. Total,Education ,Education Statistics
"Graduates in services (% of total graduates, tertiary)",Education,Education Statistics
"Graduates in services (% of total graduates, tertiary)",Education ,Education Statistics
"Graduates in services, female (% of total female graduates, tertiary)",Education,Education Statistics
"Graduates in services, female (% of total female graduates, tertiary)",Education ,Education Statistics
Graduates in services. Tertiary. Female,Education,Education Statistics
Graduates in services. Tertiary. Female,Education ,Education Statistics
Graduates in services. Tertiary. Total,Education,Education Statistics
Graduates in services. Tertiary. Total,Education ,Education Statistics
"Graduates in social science, business, law (% of total graduates, tertiary)",Education,Education Statistics
"Graduates in social science, business, law (% of total graduates, tertiary)",Education ,Education Statistics
"Graduates in social science, business, law, female (% of total female graduates, tertiary)",Education,Education Statistics
"Graduates in social science, business, law, female (% of total female graduates, tertiary)",Education ,Education Statistics
"Graduates in social sciences, business and law. Tertiary. Female",Education,Education Statistics
"Graduates in social sciences, business and law. Tertiary. Female",Education ,Education Statistics
"Graduates in social sciences, business and law. Tertiary. Total",Education,Education Statistics
"Graduates in social sciences, business and law. Tertiary. Total",Education ,Education Statistics
"Graduates in unknown or unspecified fields (% of total graduates, tertiary)",Education,Education Statistics
"Graduates in unknown or unspecified fields (% of total graduates, tertiary)",Education ,Education Statistics
"Graduates in unknown or unspecified fields, female (% of total female graduates, tertiary)",Education,Education Statistics
"Graduates in unknown or unspecified fields, female (% of total female graduates, tertiary)",Education ,Education Statistics
Graduates in unspecified programmes. Tertiary. Female,Education,Education Statistics
Graduates in unspecified programmes. Tertiary. Female,Education ,Education Statistics
Graduates in unspecified programmes. Tertiary. Total,Education,Education Statistics
Graduates in unspecified programmes. Tertiary. Total,Education ,Education Statistics
"Graduates, tertiary, female",Education,Education Statistics
"Graduates, tertiary, female",Education ,Education Statistics
"Graduates, tertiary, total",Education,Education Statistics
"Graduates, tertiary, total",Education ,Education Statistics
Graduation age population. Primary. Female,Education,Education Statistics
Graduation age population. Primary. Female,Education ,Education Statistics
Graduation age population. Primary. Male,Education,Education Statistics
Graduation age population. Primary. Male,Education ,Education Statistics
Graduation age population. Primary. Total,Education,Education Statistics
Graduation age population. Primary. Total,Education ,Education Statistics
Grants and other revenue (% of revenue),Public Sector,World Development Indicators
Grants and other revenue (% of revenue),Public Sector ,World Development Indicators
Grants and other revenue (current LCU),Public Sector,World Development Indicators
Grants and other revenue (current LCU),Public Sector ,World Development Indicators
"Grants, excluding technical cooperation (BoP, current US$)",Economic Policy &  External Debt,World Development Indicators
"Grants, excluding technical cooperation (BoP, current US$)",Economic Policy &  External Debt ,World Development Indicators
Gross capital formation (% of GDP),Economic Policy &  External Debt,World Development Indicators
Gross capital formation (% of GDP),Economic Policy &  External Debt ,World Development Indicators
Gross capital formation (annual % growth),Economic Policy &  External Debt,World Development Indicators
Gross capital formation (annual % growth),Economic Policy &  External Debt ,World Development Indicators
Gross capital formation (constant 2000 US$),Economic Policy &  External Debt,World Development Indicators
Gross capital formation (constant 2000 US$),Economic Policy &  External Debt ,World Development Indicators
Gross capital formation (constant 2005 US$),Economic Policy &  External Debt,World Development Indicators
Gross capital formation (constant 2005 US$),Economic Policy &  External Debt ,World Development Indicators
Gross capital formation (constant LCU),Economic Policy &  External Debt,World Development Indicators
Gross capital formation (constant LCU),Economic Policy &  External Debt ,World Development Indicators
Gross capital formation (current LCU),Economic Policy &  External Debt,World Development Indicators
Gross capital formation (current LCU),Economic Policy &  External Debt ,World Development Indicators
Gross capital formation (current US$),Economic Policy &  External Debt,World Development Indicators
Gross capital formation (current US$),Economic Policy &  External Debt ,World Development Indicators
Gross Domestic Expenditure (GDE) (real 2005 USD),Economic Policy &  External Debt,GEP Economic Prospects
Gross Domestic Expenditure (GDE) (real 2005 USD),Economic Policy &  External Debt ,GEP Economic Prospects
"Gross Domestic Expenditure (GDE) (real local currency units, various base years)",Economic Policy &  External Debt,GEP Economic Prospects
"Gross Domestic Expenditure (GDE) (real local currency units, various base years)",Economic Policy &  External Debt ,GEP Economic Prospects
Gross domestic income (constant 2000 US$),Economic Policy &  External Debt,World Development Indicators
Gross domestic income (constant 2000 US$),Economic Policy &  External Debt ,World Development Indicators
Gross domestic income (constant 2005 US$),Economic Policy &  External Debt,World Development Indicators
Gross domestic income (constant 2005 US$),Economic Policy &  External Debt ,World Development Indicators
Gross domestic income (constant LCU),Economic Policy &  External Debt,World Development Indicators
Gross domestic income (constant LCU),Economic Policy &  External Debt ,World Development Indicators
Gross domestic savings (% of GDP),Economic Policy &  External Debt,World Development Indicators
Gross domestic savings (% of GDP),Economic Policy &  External Debt ,World Development Indicators
Gross domestic savings (constant LCU),Economic Policy &  External Debt,World Development Indicators
Gross domestic savings (constant LCU),Economic Policy &  External Debt ,World Development Indicators
Gross domestic savings (current LCU),Economic Policy &  External Debt,World Development Indicators
Gross domestic savings (current LCU),Economic Policy &  External Debt ,World Development Indicators
Gross domestic savings (current US$),Economic Policy &  External Debt,World Development Indicators
Gross domestic savings (current US$),Economic Policy &  External Debt ,World Development Indicators
"Gross enrollment rate (%), lower secondary, female",Education,Education Statistics
"Gross enrollment rate (%), lower secondary, female",Education ,Education Statistics
"Gross enrollment rate (%), lower secondary, male",Education,Education Statistics
"Gross enrollment rate (%), lower secondary, male",Education ,Education Statistics
"Gross enrollment rate (%), lower secondary, total",Education,Education Statistics
"Gross enrollment rate (%), lower secondary, total",Education ,Education Statistics
"Gross enrollment rate (%), upper secondary, total",Education,Education Statistics
"Gross enrollment rate (%), upper secondary, total",Education ,Education Statistics
"Gross enrollment rate, primary, female",Education,Education Statistics
"Gross enrollment rate, primary, female",Education ,Education Statistics
"Gross enrollment rate, primary, male",Education,Education Statistics
"Gross enrollment rate, primary, male",Education ,Education Statistics
"Gross enrollment rate, primary, total",Education,Education Statistics
"Gross enrollment rate, primary, total",Education ,Education Statistics
"Gross enrollment rate, secondary, female",Education,Education Statistics
"Gross enrollment rate, secondary, female",Education ,Education Statistics
"Gross enrollment rate, secondary, male",Education,Education Statistics
"Gross enrollment rate, secondary, male",Education ,Education Statistics
"Gross enrollment rate, secondary, total",Education,Education Statistics
"Gross enrollment rate, secondary, total",Education ,Education Statistics
Gross enrolment ratio. All levels combined (except pre-primary). Female,Education,Education Statistics
Gross enrolment ratio. All levels combined (except pre-primary). Female,Education ,Education Statistics
Gross enrolment ratio. All levels combined (except pre-primary). Male,Education,Education Statistics
Gross enrolment ratio. All levels combined (except pre-primary). Male,Education ,Education Statistics
Gross enrolment ratio. All levels combined (except pre-primary). Total,Education,Education Statistics
Gross enrolment ratio. All levels combined (except pre-primary). Total,Education ,Education Statistics
Gross enrolment ratio. Primary & Secondary combined. Female,Education,Education Statistics
Gross enrolment ratio. Primary & Secondary combined. Female,Education ,Education Statistics
Gross enrolment ratio. Primary & Secondary combined. Male,Education,Education Statistics
Gross enrolment ratio. Primary & Secondary combined. Male,Education ,Education Statistics
Gross enrolment ratio. Primary & Secondary combined. Total,Education,Education Statistics
Gross enrolment ratio. Primary & Secondary combined. Total,Education ,Education Statistics
Gross enrolment ratio. Upper secondary. All programmes. Female,Education,Education Statistics
Gross enrolment ratio. Upper secondary. All programmes. Female,Education ,Education Statistics
Gross enrolment ratio. Upper secondary. All programmes. Male,Education,Education Statistics
Gross enrolment ratio. Upper secondary. All programmes. Male,Education ,Education Statistics
Gross entry ratio to lower secondary. General programmes. Female,Education,Education Statistics
Gross entry ratio to lower secondary. General programmes. Female,Education ,Education Statistics
Gross entry ratio to lower secondary. General programmes. Male,Education,Education Statistics
Gross entry ratio to lower secondary. General programmes. Male,Education ,Education Statistics
Gross entry ratio to lower secondary. General programmes. Total,Education,Education Statistics
Gross entry ratio to lower secondary. General programmes. Total,Education ,Education Statistics
Gross fixed capital formation (% of GDP),Economic Policy &  External Debt,World Development Indicators
Gross fixed capital formation (% of GDP),Economic Policy &  External Debt ,World Development Indicators
Gross fixed capital formation (annual % growth),Economic Policy &  External Debt,World Development Indicators
Gross fixed capital formation (annual % growth),Economic Policy &  External Debt ,World Development Indicators
Gross fixed capital formation (constant 2000 US$),Economic Policy &  External Debt,World Development Indicators
Gross fixed capital formation (constant 2000 US$),Economic Policy &  External Debt ,World Development Indicators
Gross fixed capital formation (constant 2005 US$),Economic Policy &  External Debt,World Development Indicators
Gross fixed capital formation (constant 2005 US$),Economic Policy &  External Debt ,World Development Indicators
Gross fixed capital formation (constant LCU),Economic Policy &  External Debt,World Development Indicators
Gross fixed capital formation (constant LCU),Economic Policy &  External Debt ,World Development Indicators
Gross fixed capital formation (current LCU),Economic Policy &  External Debt,World Development Indicators
Gross fixed capital formation (current LCU),Economic Policy &  External Debt ,World Development Indicators
Gross fixed capital formation (current US$),Economic Policy &  External Debt,World Development Indicators
Gross fixed capital formation (current US$),Economic Policy &  External Debt ,World Development Indicators
"Gross fixed capital formation, private sector (% of GDP)",Economic Policy &  External Debt,World Development Indicators
"Gross fixed capital formation, private sector (% of GDP)",Economic Policy &  External Debt ,World Development Indicators
"Gross fixed capital formation, private sector (current LCU)",Economic Policy &  External Debt,World Development Indicators
"Gross fixed capital formation, private sector (current LCU)",Economic Policy &  External Debt ,World Development Indicators
Gross Fixed Investment (implicit price deflator constant 2005 USD),Economic Policy &  External Debt,GEP Economic Prospects
Gross Fixed Investment (implicit price deflator constant 2005 USD),Economic Policy &  External Debt ,GEP Economic Prospects
"Gross intake rate in grade 1, female (% of relevant age group)",Education,World Development Indicators
"Gross intake rate in grade 1, female (% of relevant age group)",Education ,World Development Indicators
"Gross intake rate in grade 1, female (% of relevant age group)",Gender,World Development Indicators
"Gross intake rate in grade 1, male (% of relevant age group)",Education,World Development Indicators
"Gross intake rate in grade 1, male (% of relevant age group)",Education ,World Development Indicators
"Gross intake rate in grade 1, male (% of relevant age group)",Gender,World Development Indicators
"Gross intake rate in grade 1, total (% of relevant age group)",Education,World Development Indicators
"Gross intake rate in grade 1, total (% of relevant age group)",Education ,World Development Indicators
"Gross intake ratio in first grade of primary education, female (% of relevant age group)",Education,World Development Indicators
"Gross intake ratio in first grade of primary education, female (% of relevant age group)",Education ,World Development Indicators
"Gross intake ratio in first grade of primary education, female (% of relevant age group)",Gender,World Development Indicators
"Gross intake ratio in first grade of primary education, male (% of relevant age group)",Education,World Development Indicators
"Gross intake ratio in first grade of primary education, male (% of relevant age group)",Education ,World Development Indicators
"Gross intake ratio in first grade of primary education, male (% of relevant age group)",Gender,World Development Indicators
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",Education,World Development Indicators
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",Education ,World Development Indicators
Gross lower secondary graduation ratio. All programmes. Female,Education,Education Statistics
Gross lower secondary graduation ratio. All programmes. Female,Education ,Education Statistics
Gross lower secondary graduation ratio. All programmes. Male,Education,Education Statistics
Gross lower secondary graduation ratio. All programmes. Male,Education ,Education Statistics
Gross lower secondary graduation ratio. All programmes. Total,Education,Education Statistics
Gross lower secondary graduation ratio. All programmes. Total,Education ,Education Statistics
Gross lower secondary graduation ratio. General programmes. Female,Education,Education Statistics
Gross lower secondary graduation ratio. General programmes. Female,Education ,Education Statistics
Gross lower secondary graduation ratio. General programmes. Male,Education,Education Statistics
Gross lower secondary graduation ratio. General programmes. Male,Education ,Education Statistics
Gross lower secondary graduation ratio. General programmes. Total,Education,Education Statistics
Gross lower secondary graduation ratio. General programmes. Total,Education ,Education Statistics
Gross national expenditure (% of GDP),Economic Policy &  External Debt,World Development Indicators
Gross national expenditure (% of GDP),Economic Policy &  External Debt ,World Development Indicators
Gross national expenditure (constant 2000 US$),Economic Policy &  External Debt,World Development Indicators
Gross national expenditure (constant 2000 US$),Economic Policy &  External Debt ,World Development Indicators
Gross national expenditure (constant 2005 US$),Economic Policy &  External Debt,World Development Indicators
Gross national expenditure (constant 2005 US$),Economic Policy &  External Debt ,World Development Indicators
Gross national expenditure (constant LCU),Economic Policy &  External Debt,World Development Indicators
Gross national expenditure (constant LCU),Economic Policy &  External Debt ,World Development Indicators
Gross national expenditure (current LCU),Economic Policy &  External Debt,World Development Indicators
Gross national expenditure (current LCU),Economic Policy &  External Debt ,World Development Indicators
Gross national expenditure (current US$),Economic Policy &  External Debt,World Development Indicators
Gross national expenditure (current US$),Economic Policy &  External Debt ,World Development Indicators
Gross national expenditure deflator (base year varies by country),Economic Policy &  External Debt,World Development Indicators
Gross national expenditure deflator (base year varies by country),Economic Policy &  External Debt ,World Development Indicators
Gross national income (constant LCU),Economic Policy &  External Debt,World Development Indicators
Gross national income (constant LCU),Economic Policy &  External Debt ,World Development Indicators
Gross outbound enrolment ratio. Tertiary,Education,Education Statistics
Gross outbound enrolment ratio. Tertiary,Education ,Education Statistics
Gross portfolio debt liabilities to GDP (%),Financial Sector,Global Financial Development
Gross portfolio debt liabilities to GDP (%),Financial Sector ,Global Financial Development
Gross portfolio equity assets to GDP (%),Financial Sector,Global Financial Development
Gross portfolio equity assets to GDP (%),Financial Sector ,Global Financial Development
Gross portfolio equity liabilities to GDP (%),Financial Sector,Global Financial Development
Gross portfolio equity liabilities to GDP (%),Financial Sector ,Global Financial Development
"Gross primary graduation ratio, female",Education,Education Statistics
"Gross primary graduation ratio, female",Education ,Education Statistics
"Gross primary graduation ratio, male",Education,Education Statistics
"Gross primary graduation ratio, male",Education ,Education Statistics
"Gross primary graduation ratio, total",Education,Education Statistics
"Gross primary graduation ratio, total",Education ,Education Statistics
Gross savings (% of GDP),Economic Policy &  External Debt,World Development Indicators
Gross savings (% of GDP),Economic Policy &  External Debt ,World Development Indicators
Gross savings (% of GNI),Economic Policy &  External Debt,World Development Indicators
Gross savings (% of GNI),Economic Policy &  External Debt ,World Development Indicators
Gross savings (current LCU),Economic Policy &  External Debt,World Development Indicators
Gross savings (current LCU),Economic Policy &  External Debt ,World Development Indicators
Gross savings (current US$),Economic Policy &  External Debt,World Development Indicators
Gross savings (current US$),Economic Policy &  External Debt ,World Development Indicators
"Gross tertiary graduation ratio (first degree), female",Education,Education Statistics
"Gross tertiary graduation ratio (first degree), female",Education ,Education Statistics
"Gross tertiary graduation ratio (first degree), male",Education,Education Statistics
"Gross tertiary graduation ratio (first degree), male",Education ,Education Statistics
"Gross tertiary graduation ratio (first degree), total",Education,Education Statistics
"Gross tertiary graduation ratio (first degree), total",Education ,Education Statistics
Gross value added at factor cost (constant 2000 US$),Economic Policy &  External Debt,World Development Indicators
Gross value added at factor cost (constant 2000 US$),Economic Policy &  External Debt ,World Development Indicators
Gross value added at factor cost (constant 2005 US$),Economic Policy &  External Debt,World Development Indicators
Gross value added at factor cost (constant 2005 US$),Economic Policy &  External Debt ,World Development Indicators
Gross value added at factor cost (constant LCU),Economic Policy &  External Debt,World Development Indicators
Gross value added at factor cost (constant LCU),Economic Policy &  External Debt ,World Development Indicators
Gross value added at factor cost (current LCU),Economic Policy &  External Debt,World Development Indicators
Gross value added at factor cost (current LCU),Economic Policy &  External Debt ,World Development Indicators
Gross value added at factor cost (current US$),Economic Policy &  External Debt,World Development Indicators
Gross value added at factor cost (current US$),Economic Policy &  External Debt ,World Development Indicators
H-statistic,Financial Sector,Global Financial Development
H-statistic,Financial Sector ,Global Financial Development
Health expenditure per capita (current US$),Health,World Development Indicators
Health expenditure per capita (current US$),Health ,World Development Indicators
"Health expenditure per capita, PPP (constant 2005 international $)",Health,World Development Indicators
"Health expenditure per capita, PPP (constant 2005 international $)",Health ,World Development Indicators
"Health expenditure, private (% of GDP)",Health,World Development Indicators
"Health expenditure, private (% of GDP)",Health ,World Development Indicators
"Health expenditure, private (% of total health expenditure)",Health,World Development Indicators
"Health expenditure, private (% of total health expenditure)",Health ,World Development Indicators
"Health expenditure, public (% of GDP)",Health,World Development Indicators
"Health expenditure, public (% of GDP)",Health ,World Development Indicators
"Health expenditure, public (% of government expenditure)",Health,World Development Indicators
"Health expenditure, public (% of government expenditure)",Health ,World Development Indicators
"Health expenditure, public (% of total health expenditure)",Health,World Development Indicators
"Health expenditure, public (% of total health expenditure)",Health ,World Development Indicators
"Health expenditure, total (% of GDP)",Health,World Development Indicators
"Health expenditure, total (% of GDP)",Health ,World Development Indicators
HFC gas emissions (thousand metric tons of CO2 equivalent),Environment,World Development Indicators
HFC gas emissions (thousand metric tons of CO2 equivalent),Environment ,World Development Indicators
High-technology exports (% of manufactured exports),Science & Technology,World Development Indicators
High-technology exports (% of manufactured exports),Science & Technology ,World Development Indicators
High-technology exports (current US$),Science & Technology,World Development Indicators
High-technology exports (current US$),Science & Technology ,World Development Indicators
"Highest marginal tax rate, corporate rate (%)",Public Sector,Africa Development Indicators
"Highest marginal tax rate, corporate rate (%)",Public Sector ,Africa Development Indicators
"Hospital beds (per 1,000 people)",Health,World Development Indicators
"Hospital beds (per 1,000 people)",Health ,World Development Indicators
Household final consumption expenditure (annual % growth),Economic Policy &  External Debt,World Development Indicators
Household final consumption expenditure (annual % growth),Economic Policy &  External Debt ,World Development Indicators
Household final consumption expenditure (constant 2000 US$),Economic Policy &  External Debt,World Development Indicators
Household final consumption expenditure (constant 2000 US$),Economic Policy &  External Debt ,World Development Indicators
Household final consumption expenditure (constant 2005 US$),Economic Policy &  External Debt,World Development Indicators
Household final consumption expenditure (constant 2005 US$),Economic Policy &  External Debt ,World Development Indicators
Household final consumption expenditure (constant LCU),Economic Policy &  External Debt,World Development Indicators
Household final consumption expenditure (constant LCU),Economic Policy &  External Debt ,World Development Indicators
Household final consumption expenditure (current LCU),Economic Policy &  External Debt,World Development Indicators
Household final consumption expenditure (current LCU),Economic Policy &  External Debt ,World Development Indicators
Household final consumption expenditure (current US$),Economic Policy &  External Debt,World Development Indicators
Household final consumption expenditure (current US$),Economic Policy &  External Debt ,World Development Indicators
Household final consumption expenditure per capita (constant 2000 US$),Economic Policy &  External Debt,World Development Indicators
Household final consumption expenditure per capita (constant 2000 US$),Economic Policy &  External Debt ,World Development Indicators
Household final consumption expenditure per capita (constant 2005 US$),Economic Policy &  External Debt,World Development Indicators
Household final consumption expenditure per capita (constant 2005 US$),Economic Policy &  External Debt ,World Development Indicators
Household final consumption expenditure per capita growth (annual %),Economic Policy &  External Debt,World Development Indicators
Household final consumption expenditure per capita growth (annual %),Economic Policy &  External Debt ,World Development Indicators
"Household final consumption expenditure, etc. (% of GDP)",Economic Policy &  External Debt,World Development Indicators
"Household final consumption expenditure, etc. (% of GDP)",Economic Policy &  External Debt ,World Development Indicators
"Household final consumption expenditure, etc. (annual % growth)",Economic Policy &  External Debt,World Development Indicators
"Household final consumption expenditure, etc. (annual % growth)",Economic Policy &  External Debt ,World Development Indicators
"Household final consumption expenditure, etc. (constant 2000 US$)",Economic Policy &  External Debt,World Development Indicators
"Household final consumption expenditure, etc. (constant 2000 US$)",Economic Policy &  External Debt ,World Development Indicators
"Household final consumption expenditure, etc. (constant 2005 US$)",Economic Policy &  External Debt,World Development Indicators
"Household final consumption expenditure, etc. (constant 2005 US$)",Economic Policy &  External Debt ,World Development Indicators
"Household final consumption expenditure, etc. (constant LCU)",Economic Policy &  External Debt,World Development Indicators
"Household final consumption expenditure, etc. (constant LCU)",Economic Policy &  External Debt ,World Development Indicators
"Household final consumption expenditure, etc. (current LCU)",Economic Policy &  External Debt,World Development Indicators
"Household final consumption expenditure, etc. (current LCU)",Economic Policy &  External Debt ,World Development Indicators
"Household final consumption expenditure, etc. (current US$)",Economic Policy &  External Debt,World Development Indicators
"Household final consumption expenditure, etc. (current US$)",Economic Policy &  External Debt ,World Development Indicators
"Household final consumption expenditure, PPP (constant 2005 international $)",Economic Policy &  External Debt,World Development Indicators
"Household final consumption expenditure, PPP (constant 2005 international $)",Economic Policy &  External Debt ,World Development Indicators
"Household final consumption expenditure, PPP (current international $)",Economic Policy &  External Debt,World Development Indicators
"Household final consumption expenditure, PPP (current international $)",Economic Policy &  External Debt ,World Development Indicators
Households with television (%),Infrastructure,Africa Development Indicators
Households with television (%),Infrastructure ,Africa Development Indicators
"IBRD loans and IDA credits (DOD, current US$)",Economic Policy &  External Debt,World Development Indicators
"IBRD loans and IDA credits (DOD, current US$)",Economic Policy &  External Debt ,World Development Indicators
ICT goods exports (% of total goods exports),Infrastructure,World Development Indicators
ICT goods exports (% of total goods exports),Infrastructure ,World Development Indicators
ICT goods imports (% total goods imports),Infrastructure,World Development Indicators
ICT goods imports (% total goods imports),Infrastructure ,World Development Indicators
"ICT service exports (% of service exports, BoP)",Infrastructure,World Development Indicators
"ICT service exports (% of service exports, BoP)",Infrastructure ,World Development Indicators
"ICT service exports (BoP, current US$)",Infrastructure,World Development Indicators
"ICT service exports (BoP, current US$)",Infrastructure ,World Development Indicators
IDA grants (current US$),Aid Effectiveness,Global Development Finance
IDA grants (current US$),Aid Effectiveness,International Debt Statistics
IDA grants (current US$),Aid Effectiveness,World Development Indicators
IDA grants (current US$),Aid Effectiveness ,Global Development Finance
IDA grants (current US$),Aid Effectiveness ,International Debt Statistics
IDA grants (current US$),Aid Effectiveness ,World Development Indicators
IDA resource allocation index (1=low to 6=high),Public Sector,World Development Indicators
IDA resource allocation index (1=low to 6=high),Public Sector ,World Development Indicators
"IFC, private nonguaranteed (NFL, current US$)",Economic Policy &  External Debt,Global Development Finance
"IFC, private nonguaranteed (NFL, current US$)",Economic Policy &  External Debt,International Debt Statistics
"IFC, private nonguaranteed (NFL, current US$)",Economic Policy &  External Debt,World Development Indicators
"IFC, private nonguaranteed (NFL, current US$)",Economic Policy &  External Debt ,Global Development Finance
"IFC, private nonguaranteed (NFL, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"IFC, private nonguaranteed (NFL, current US$)",Economic Policy &  External Debt ,World Development Indicators
"IMF charges (INT, current US$)",Economic Policy &  External Debt,Global Development Finance
"IMF charges (INT, current US$)",Economic Policy &  External Debt,International Debt Statistics
"IMF charges (INT, current US$)",Economic Policy &  External Debt,World Development Indicators
"IMF charges (INT, current US$)",Economic Policy &  External Debt ,Global Development Finance
"IMF charges (INT, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"IMF charges (INT, current US$)",Economic Policy &  External Debt ,World Development Indicators
"IMF purchases (DIS, current US$)",Economic Policy &  External Debt,Global Development Finance
"IMF purchases (DIS, current US$)",Economic Policy &  External Debt,International Debt Statistics
"IMF purchases (DIS, current US$)",Economic Policy &  External Debt,World Development Indicators
"IMF purchases (DIS, current US$)",Economic Policy &  External Debt ,Global Development Finance
"IMF purchases (DIS, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"IMF purchases (DIS, current US$)",Economic Policy &  External Debt ,World Development Indicators
"IMF repurchases (AMT, current US$)",Economic Policy &  External Debt,Global Development Finance
"IMF repurchases (AMT, current US$)",Economic Policy &  External Debt,International Debt Statistics
"IMF repurchases (AMT, current US$)",Economic Policy &  External Debt,World Development Indicators
"IMF repurchases (AMT, current US$)",Economic Policy &  External Debt ,Global Development Finance
"IMF repurchases (AMT, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"IMF repurchases (AMT, current US$)",Economic Policy &  External Debt ,World Development Indicators
"IMF repurchases and charges (TDS, current US$)",Economic Policy &  External Debt,Global Development Finance
"IMF repurchases and charges (TDS, current US$)",Economic Policy &  External Debt,International Debt Statistics
"IMF repurchases and charges (TDS, current US$)",Economic Policy &  External Debt,World Development Indicators
"IMF repurchases and charges (TDS, current US$)",Economic Policy &  External Debt ,Global Development Finance
"IMF repurchases and charges (TDS, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"IMF repurchases and charges (TDS, current US$)",Economic Policy &  External Debt ,World Development Indicators
"Immunization, DPT (% of children ages 12-23 months)",Health,World Development Indicators
"Immunization, DPT (% of children ages 12-23 months)",Health ,World Development Indicators
"Immunization, measles (% of children ages 12-23 months)",Health,World Development Indicators
"Immunization, measles (% of children ages 12-23 months)",Health ,World Development Indicators
Import value index (2000 = 100),Private Sector,World Development Indicators
Import volume index (2000 = 100),Private Sector,World Development Indicators
"Imports GNFS deflator, LCU",Economic Policy &  External Debt,GEP Economic Prospects
"Imports GNFS deflator, LCU",Economic Policy &  External Debt ,GEP Economic Prospects
"Imports GNFS, constant LCU, millions",Economic Policy &  External Debt,GEP Economic Prospects
"Imports GNFS, constant LCU, millions",Economic Policy &  External Debt ,GEP Economic Prospects
"Imports GNFS, constant US$, millions",Economic Policy &  External Debt,GEP Economic Prospects
"Imports GNFS, constant US$, millions",Economic Policy &  External Debt ,GEP Economic Prospects
"Imports GNFS, current LCU, millions",Economic Policy &  External Debt,GEP Economic Prospects
"Imports GNFS, current LCU, millions",Economic Policy &  External Debt ,GEP Economic Prospects
"Imports GNFS, current US$, millions",Economic Policy &  External Debt,GEP Economic Prospects
"Imports GNFS, current US$, millions",Economic Policy &  External Debt ,GEP Economic Prospects
Imports of goods and services (% of GDP),Economic Policy &  External Debt,World Development Indicators
Imports of goods and services (% of GDP),Economic Policy &  External Debt ,World Development Indicators
Imports of goods and services (annual % growth),Economic Policy &  External Debt,World Development Indicators
Imports of goods and services (annual % growth),Economic Policy &  External Debt ,World Development Indicators
"Imports of goods and services (BoP, current US$)",Economic Policy &  External Debt,World Development Indicators
"Imports of goods and services (BoP, current US$)",Economic Policy &  External Debt ,World Development Indicators
Imports of goods and services (constant 2000 US$),Economic Policy &  External Debt,World Development Indicators
Imports of goods and services (constant 2000 US$),Economic Policy &  External Debt ,World Development Indicators
Imports of goods and services (constant 2005 US$),Economic Policy &  External Debt,World Development Indicators
Imports of goods and services (constant 2005 US$),Economic Policy &  External Debt ,World Development Indicators
